"row_id","project_code","project_lead","location","location_names","location_countries","subsector_type","subsector_stated","intervention_stated","rationale_stated","target_beneficiary","result_stated","result_value","result_metric","result_unit","result_level","evidence_stated","evidence_depth","qc_flag"
"11","P001","","","Kenya","Kenya","cross cutting","SLWM Country Strategic Investment Framework (CSIF); national SLWM platform","Support to Kenya on its SLWM CSIF; consultant hired in 2016; launch of Kenya's CSIF and launch of national SLWM platform supported","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","Launch of Kenya's CSIF supported; Kenya SLWM platform launch supported","","","","output","ICR desk review of project completion reports","2",""
"12","P001","","","Niger","Niger","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Support to Niger on its SLWM CSIF; experts deployed (2015, 2017-2018); CSIF validation workshop supported","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","CSIF validation workshop for Niger supported","1","","CSIF validation workshop","output","ICR desk review of project completion reports","2","activity deliverable - check result_level is process or output"
"13","P001","","","Senegal","Senegal","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Support to Senegal on its SLWM CSIF; expert deployed for development/implementation of the CSIF (2017)","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","Senegal reported as assisted through deployment of experts for CSIF development, implementation or update","","","","process","ICR desk review of annual and completion reports","2",""
"14","P001","","","Democratic Republic of Congo","Democratic Republic of Congo","cross cutting","SLWM Country Strategic Investment Framework (CSIF); national SLWM platform","Support to DRC on its SLWM CSIF; experts deployed 2017-2018; SLWM platform launch and CSIF validation workshop supported; joint fact-finding and planning mission fielded in 2017","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","DRC platform launch and CSIF validation supported","","","","output","ICR desk review of project completion reports","2",""
"15","P001","","","Burkina Faso","Burkina Faso","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Support to Burkina Faso on its SLWM CSIF; consultant hired in 2015; joint fact-finding and planning mission fielded in 2016; expert deployment reported in 2018","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","Consultants hired for Burkina Faso in 2015 for development, implementation or update of country investment planning","","","","process","ICR desk review of results framework and completion reports","2",""
"16","P001","","","Burkina Faso","Burkina Faso","land use","SLM best practices; erosion","Production and dissemination of a Burkina Faso documentary and learning videos on erosion and best SLWM practices used in Burkina Faso","meet country demand for knowledge and best practice tools to improve land management and climate resilience while maintaining natural capital","","A Burkina Faso documentary on SLM best practices produced and shared on the website; learning videos on erosion and best SLWM practices used in Burkina Faso developed","1","","documentary/knowledge product","output","ICR desk review of progress and completion reports","2","activity deliverable - check result_level is process or output"
"17","P001","","","Togo","Togo","cross cutting","SLWM Country Strategic Investment Framework (CSIF); national SLWM platform","Support to Togo on its SLWM CSIF; experts deployed 2017-2018; SLWM platform launch and CSIF validation workshop supported","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","Togo platform launch and CSIF validation supported","","","","output","ICR desk review of project completion reports","2",""
"18","P001","","","Lesotho","Lesotho","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Support to Lesotho on its SLWM CSIF; experts deployed 2017-2018; CSIF validation workshop supported; Lesotho CSIF (L-SLWM-SIP 2014-2024) reviewed March 2018","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","CSIF validation workshop for Lesotho supported; Lesotho reported positively on quality of services delivered","1","","CSIF validation workshop","output","ICR desk review of completion reports; country stakeholder interview","2","activity deliverable - check result_level is process or output"
"19","P001","","","Nigeria","Nigeria","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Support to Nigeria on its SLWM CSIF; consultants hired in 2017 and 2018 for development, implementation or update of country investment planning","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","Consultants hired for Nigeria in 2017 and 2018 for country investment planning","","","","process","ICR desk review of results framework and completion reports","2",""
"20","P001","","","South Africa","South Africa","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Experts deployed to South Africa in 2017/2018 for the development, implementation or update of country SLWM investment planning (CSIF)","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","South Africa reported as assisted through deployment of experts for CSIF development and implementation","","","","process","ICR desk review of project completion reports","2",""
"21","P001","","","Madagascar","Madagascar","cross cutting","SLWM Country Strategic Investment Framework (CSIF) development, implementation, or update","Support to Madagascar on its SLWM CSIF; experts deployed in 2015; joint fact-finding and planning mission fielded in 2016","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","Madagascar reported as assisted through deployment of experts for CSIF development, implementation or update","","","","process","ICR desk review of annual and completion reports","2",""
"22","P001","","","Burundi","Burundi","cross cutting","SLWM country investment planning","Joint fact-finding and planning mission to Burundi in 2015; consultant hired in 2016 for development, implementation or update of country investment planning","the project initially focused on stimulating renewed interest and demand by countries for support services","","Consultants hired for Burundi in 2016 for country investment planning","","","","process","ICR desk review of results framework and completion reports","2",""
"23","P001","","","Comoros","Comoros","cross cutting","national SLWM platform","Support for the launch of the national SLWM platform in the Comoros; joint fact-finding and planning mission fielded in 2017","workshops/roundtables for national donors' dialogue and stakeholders' consultation to facilitate alignment of countries' SLWM Investment Frameworks with national priorities","","SLM Platform launch supported in the Comoros","1","","national SLWM platform launched","output","ICR desk review of project completion reports","2","activity deliverable - check result_level is process or output"
"24","P001","","","Cote d'Ivoire","Cote d'Ivoire","cross cutting","SLWM Country Strategic Investment Framework (CSIF); national SLWM platform","Support to Cote d'Ivoire: launch of the Cote d'Ivoire SLWM platform supported; expert deployed in 2017; joint fact-finding and planning mission fielded in 2015","CSIFs offer a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","The Secretariat supported the launch of Cote d'Ivoire SLWM platform during the reporting period","1","","national SLWM platform launched","output","ICR desk review of results framework and completion reports","2","activity deliverable - check result_level is process or output"
"25","P001","","","Malawi","Malawi","cross cutting","SLWM knowledge management and investment planning","Joint fact-finding and planning mission to Malawi in 2017; country visited in 2014 and again under the AF for development and dissemination of SLWM knowledge and advocacy products","the project initially focused on stimulating renewed interest and demand by countries for support services","","","","","","","","1",""
"26","P001","","","Republic of Congo (Brazzaville)","Republic of Congo","cross cutting","SLWM knowledge management and investment planning","Joint fact-finding and planning mission to Congo in 2017; country visited for development and dissemination of SLWM knowledge and advocacy products","the project initially focused on stimulating renewed interest and demand by countries for support services","","","","","","","","1",""
"27","P001","","","Benin","Benin","cross cutting","SLWM knowledge management and investment planning","Joint fact-finding and planning mission to Benin in 2018; country visited for development and dissemination of SLWM knowledge and advocacy products","the project initially focused on stimulating renewed interest and demand by countries for support services","","","","","","","","1",""
"28","P001","","","Zimbabwe","Zimbabwe","cross cutting","SLWM knowledge management and investment planning","Joint fact-finding and planning mission to Zimbabwe in 2018; country visited in 2014 and again under the AF for development and dissemination of SLWM knowledge and advocacy products","the project initially focused on stimulating renewed interest and demand by countries for support services","","","","","","","","1",""
"29","P001","","","Sudan","Sudan","cross cutting","SLWM knowledge management and investment planning","Joint fact-finding and planning mission to Sudan in 2018","the project initially focused on stimulating renewed interest and demand by countries for support services","","","","","","","","1",""
"30","P001","","","Rwanda","Rwanda","cross cutting","SLWM knowledge and advocacy products","Country visited in 2014 for development and dissemination of core SLWM knowledge and advocacy products at country level","meet country demand for knowledge and best practice tools to improve land management and climate resilience while maintaining natural capital","","","","","","","","1",""
"31","P001","","","Mauritania","Mauritania","cross cutting","SLWM knowledge and advocacy products","Country visited in 2014 for development and dissemination of core SLWM knowledge and advocacy products at country level","meet country demand for knowledge and best practice tools to improve land management and climate resilience while maintaining natural capital","","","","","","","","1",""
"32","P001","","","Dakar","Senegal","cross cutting","Financing SLWM in Africa","Financing SLWM in Africa learning workshop held in Dakar, 23-26 February 2015, as part of the systematic series of learning events for country project and national program teams","meet country demand for knowledge and best practice tools to improve land management and climate resilience","","Financing SLWM in Africa workshop in Dakar, 23-26 February 2015, delivered","1","","learning workshop delivered","output","ICR desk review of annual and progress reports","2","activity deliverable - check result_level is process or output"
"33","P001","","","Maseru","Lesotho","land use","Landscape Approach and Adaptation to Climate Change","Landscape Approach and Adaptation to Climate Change learning workshop held in Maseru, 21-25 April 2015, as part of the systematic series of learning events for country teams","meet country demand for knowledge and best practice tools to improve land management and climate resilience","","Landscape Approach and Adaptation to Climate Change workshop in Maseru, 21-25 April 2015, delivered","1","","learning workshop delivered","output","ICR desk review of annual and progress reports","2","activity deliverable - check result_level is process or output"
"34","P001","","","Nairobi","Kenya","cross cutting","communication on SLWM","Communication Seminar for TerrAfrica Anglophone countries held in Nairobi (second half 2015)","communication activities to reinforce policy advocacy and technical outreach","","Communication Seminar for TerrAfrica Anglophone countries delivered in Nairobi","1","","seminar delivered","output","ICR desk review of annual and progress reports","2","activity deliverable - check result_level is process or output"
"35","P001","","","Dakar","Senegal","cross cutting","communication on SLWM","Communications Workshop held in Dakar in May 2016","training for the media to leverage their capacity to reach out to different categories of players, including policy decision makers, on SLWM issues and solutions","","Communications Workshop held in Dakar, May 2016","1","","workshop delivered","output","ICR desk review of annual reports","2","activity deliverable - check result_level is process or output"
"36","P001","","","Accra","Ghana","cross cutting","Country Strategic Investment Frameworks (CSIF) for SLWM","Regional CSIF Learning Workshop held in Accra, 23-25 November 2017","CSIFs as offering a central tool for planning, scaling up and coordinating SLWM investments in the respective countries","","Regional CSIF Learning Workshop held in Accra in November 2017","1","","learning workshop delivered","output","ICR desk review of annual and completion reports","2","activity deliverable - check result_level is process or output"
"37","P001","","","Nairobi","Kenya","land use","Integrated Landscape Management (ILM)","Integrated Landscape Management (ILM) Training Workshop held in Nairobi in July 2017","the use of ILM to combat land degradation was a major focus of learning events","","ILM Training Workshop held in Nairobi in July 2017, attended by 17 member countries","17","","member countries attending","output","ICR desk review of annual and completion reports","2",""
"38","P001","","","Uganda","Uganda","cross cutting","SLWM knowledge products on the interactive Knowledge Platform","Dissemination of SLWM knowledge and advocacy products at country level through the interactive Knowledge Platform and website","knowledge of best practices, successful experiences, emerging issues and tools should be made available to planners, practitioners and other stakeholders at country level","community","In Uganda, on-the-ground communities often had sufficient internet connectivity to access the KP's products and made practical use of them in some instances","","","","outcome","ICR key stakeholder interviews","2",""
"39","P001","","","Lesotho; Uganda; Ghana","Lesotho; Uganda; Ghana","land use","natural resource conservation/restoration; SLWM","Internet-based SLWM information disseminated by the TerrAfrica Secretariat to rural communities in the three interviewed countries","sustaining the natural resource base to improve the livelihoods of the rural population of SSA","community","Conservation/restoration consciousness became part of the fabric of many rural communities; activities such as contour banking frequently driven by communities independently; internet-based information disseminated by the Secretariat is a significant contributor to communities' SLWM","","","","outcome","ICR country stakeholder interviews in three countries","2",""
"40","P002","","","North, Centre-North and East Regions, Burkina Faso","Burkina Faso","land use","participatory natural resource management and rural development","GEF-IAP: Participatory Natural Resource Management and Rural Development Project in the North, Centre-North and East Regions (Neer Tamba project), GEF ID 9141, IFAD, $7.27 million GEF grant, $35.9 million cofinance","RFS program objective: improving agricultural sustainability and productivity for smallholder farmers across Sub-Saharan Africa","smallholder farmer","","","","","","portfolio review","1","C3 portfolio metadata - belongs on the general sheet"
"41","P002","","","Burkina Faso","Burkina Faso","cross cutting","land tenure and bundled investment support","Neer Tamba project secured land tenure and provided bundled 'investment kits' (irrigation, storage, training)","lesson: land tenure security, integrated spatial planning, and packaged investment kits should be considered in future interventions","","","","","","","IEO implementation document review of MTRs and terminal evaluations","1",""
"42","P002","","","Burkina Faso","Burkina Faso","land use","agroforestry / replanting","seedlings of local species (baobab, moringa, Ziziphus) provided along with training on nursery creation to boost replanting efforts","to boost replanting efforts","","","","","","","IEO implementation document review","1",""
"43","P002","","","Burkina Faso","Burkina Faso","cross cutting","literacy and gender inclusion","literacy classes for women under the Neer Tamba project","gender quotas in training or governance bodies reported co-benefits for equity and inclusion","women (female-headed households)","literacy classes under the project reached 90 percent of participating women","90","","% of participating women reached","output","IEO implementation document review of MTRs and terminal evaluations","2",""
"44","P002","","","Burkina Faso","Burkina Faso","farming system-crop","irrigation infrastructure","infrastructure improvements, notably for irrigation","enhanced climate resilience and food security","","enhanced climate resilience and food security","","","","outcome","implementation document review and terminal evaluations","2",""
"45","P002","","","Burkina Faso","Burkina Faso","cross cutting","national policy support","child project informed the National Economic and Social Development Plan (PNDES 2021-2025), supported revision of the Nationally Determined Contribution, and helped shape the National Strategic Plan for Agro-Sylvo-Pastoral Investment","contributions to national policy frameworks or planning instruments","","","","","","","IEO implementation document review","1",""
"46","P002","","","Burundi Highlands, Burundi","Burundi","cross cutting","sustainable food production, food security and climate resilience","Food-IAP: Support for Sustainable Food Production and Enhancement of Food Security and Climate Resilience in Burundi's Highlands, GEF ID 9178, FAO, $7.4 million GEF grant, $45 million cofinance","RFS program objective: improving agricultural sustainability and productivity for smallholder farmers across Sub-Saharan Africa","smallholder farmer","","","","","","portfolio review","1","C3 portfolio metadata - belongs on the general sheet"
"47","P002","","","national, provincial and landscape levels, Burundi","Burundi","cross cutting","multi-sectoral coordination and integrated planning","strengthening technical and managerial capacity of existing multi-sectoral platforms; integrated planning at national, provincial, and landscape levels; enhancing Agriculture and Rural Development Working Groups and establishing knowledge-sharing systems","natural resource management hindered by fragmented planning, under-resourced coordination bodies, and absence of coherent land use frameworks across governance levels","","","","","","","quality-at-entry analysis of project documents","1",""
"48","P002","","","Burundi","Burundi","farming system-crop","improved seed varieties","distributed seed potatoes, wheat seed and market-garden seeds, and established community seed banks with adapted varieties","adoption of improved seed varieties as innovation","community","","","","","","IEO implementation document review","1",""
"49","P002","","","micro-watersheds, Burundi","Burundi","land use","sustainable land and water management","micro-watershed management plans developed and implemented using Sustainable Land Management (SLM) and Integrated Natural Resource Management (INRM) approaches","adoption of sustainable land and water management practices","","","","","","","IEO implementation document review","1",""
"50","P002","","","Burundi","Burundi","cross cutting","integrated resilience package","a 'resilience fund approach' linked watershed protection techniques with village savings and loan associations and community listening clubs","to strengthen inclusion and social cohesion, creating synergies between global environmental benefits and socio-economic results","community","","","","","","IEO implementation document review","1",""
"51","P002","","","watershed committees, Burundi","Burundi","cross cutting","gender-responsive governance","project sets quotas for women's participation in watershed committees","to ensure and improve their involvement in planning and decision-making","women (female-headed households)","","","","","","project document review (gender-responsive measures)","1",""
"52","P002","","","Burundi","Burundi","agri-food","value chain support","program effectively supported value chains, with attention to women's empowerment, processing, and marketing","","women (female-headed households)","","","","","","implementation document review and terminal evaluations","1",""
"53","P002","","","Burundi","Burundi","farming system-crop","agricultural extension capacity","facilitators of farmer field schools (FFS) were trained","improved agricultural practices through capacity building","","","","","","","IEO implementation document review","1",""
"54","P002","","","Eswatini","Eswatini","farming system-mixed","climate-smart agriculture","Food-IAP: Climate-Smart Agriculture for Climate-Resilient Livelihoods (CSARL), GEF ID 9133, IFAD, $7.2 million GEF grant, $48 million cofinance","RFS program objective: improving agricultural sustainability and productivity for smallholder farmers across Sub-Saharan Africa","smallholder farmer","","","","","","portfolio review","1","C3 portfolio metadata - belongs on the general sheet"
"55","P002","","","Eswatini","Eswatini","farming system-crop","climate-smart vegetable production","CSARL project support to tomato production under climate-smart agriculture","yield increases and productivity gains from project support","","the CSARL project saw tomato yields rise from 5.4 to 9.8 t/ha","9.8","","t/ha tomato yield (up from 5.4 t/ha)","outcome","IEO implementation document review of terminal evaluations","2",""
"56","P002","","","Eswatini","Eswatini","cross cutting","extension capacity building","Training of Trainers (ToT) for Ministry of Agriculture extension officers","improved agricultural extension practices through capacity building","smallholder farmer","","","","","","IEO implementation document review","1",""
"57","P002","","","Eswatini","Eswatini","agri-food","market access and credit partnerships","child project collaborated with input suppliers, processors, and financial institutions to facilitate market access and credit; designed with market orientation encouraging durable market linkages","public-private partnerships to encourage durable market linkages","","","","","","","IEO implementation document review","1",""
"58","P002","","","Ethiopia","Ethiopia","land use","integrated landscape management","Food-IAP: Integrated Landscape Management to Enhance Food Security and Ecosystem Resilience, GEF ID 9135, UNDP, $10.2 million GEF grant, $145 million cofinance","RFS program objective: improving agricultural sustainability and productivity for smallholder farmers across Sub-Saharan Africa","smallholder farmer","","","","","","portfolio review","1","C3 portfolio metadata - belongs on the general sheet"
"59","P002","","","Ethiopia","Ethiopia","farming system-crop","participatory agricultural extension","participatory extension models such as farmer field schools and lead farmer approaches accelerated knowledge diffusion","knowledge diffusion of sustainable land and water management practices","smallholder farmer","","","","","","implementation document review and terminal evaluations","1",""
"60","P002","","","national and district levels, Ethiopia","Ethiopia","cross cutting","integrated natural resource management planning","supported national and district-level planning frameworks linked to national food security strategies; district INRM committees fostered integrated planning; decentralized planning and MoUs with local authorities aligned national frameworks with district action","building on Ethiopia's existing decentralized INRM policy agenda enhanced legitimacy and government participation","","","","","","","implementation document review and terminal evaluations","1",""
"61","P002","","","Ethiopia","Ethiopia","farming system-mixed","climate-smart agriculture and land management","country project linked climate-smart agriculture and land management to improved productivity","synergies between food production and environmental sustainability","","linked climate-smart agriculture and land management to improved productivity and, in some cases, market access and income diversification","","","","outcome","implementation document review and case studies","2",""
"62","P002","","","Northern Savannah Zone (Upper East, Upper West, Northern Regions), Ghana","Ghana","land use","sustainable land and water management","Sustainable Land and Water Management Project (SLWMP), GEF ID 9340, World Bank; GEF-6 phase implemented 2016-2021 with US$12.77 million, to improve SLWM practices reducing land degradation and enhancing biodiversity conservation in targeted watersheds","over 30% of households food insecure in Upper East, Upper West, North East and Savannah Regions where the RFS project was implemented","smallholder farmer","","","","","","country case study: desk review, interviews, focus groups, site visits","1","C3 portfolio metadata - belongs on the general sheet"
"63","P002","","","Northern Savannah Zone, Ghana","Ghana","land use","sustainable land and water management practices","phased implementation of sustainable land and water management practices (SLWM)","reduce land degradation and enhance biodiversity conservation","","RFS covered 15,861 hectares under sustainable land and water management practices","15861","","hectares under SLWM practices","outcome","terminal evaluation and World Bank development impact evaluation","2",""
"64","P002","","","Northern Savannah Zone, Ghana","Ghana","land use","sustainable land and water management","RFS SLWM project beneficiary support","","","benefited over 63,500 individuals","63500","","individuals benefited","output","terminal evaluation and World Bank development impact evaluation","2",""
"65","P002","","","Western Wildlife Corridor, Ghana","Ghana","land use","community-based biodiversity conservation","development of the Western Wildlife Corridor Management Plan including establishment of six Community Resource Management Areas (CREMAs) on community-owned lands","CREMAs prevent environmental degradation and support biodiversity, including migratory species; communities gain legal authority over resources once gazetted","community","establishment of six CREMAs covering 600,995.71 hectares improving biodiversity conservation and sustainable resource management","6","","CREMAs (covering 600,995.71 ha)","output","country case study interviews and document review","2",""
"66","P002","","","target communities, Northern Savannah Zone, Ghana","Ghana","land use","sustainable land management adoption","nearly 16,000 hectares brought under SLM practices","","community","adoption rates in target communities reaching up to 97 percent","97","","% adoption in target communities","outcome","IEO implementation document review","2",""
"67","P002","","","Ghana","Ghana","cross cutting","gender participation","projects set targets for women's involvement as GEF beneficiaries (40%)","gender and inclusion considered in design","women (female-headed households)","56% of the RFS beneficiaries were women, exceeding the 40% target","56","","% of beneficiaries who were women","output","country case study document review","2",""
"68","P002","","","communities fringing Gbele Resource Reserve, Ghana","Ghana","agri-food","livelihood diversification and processing","livelihood diversification - beekeeping and shea nut picking and processing by women's groups; established shea and cassava processing facilities; market linkages to premium markets through bulk sales to Savanna Fruit Company","to reduce pressure on land use","women's group/organization","","","","","","country case study interviews and focus group discussions","1",""
"69","P002","","","beneficiary communities, Northern Savannah Zone, Ghana","Ghana","farming system-crop","nutrient-rich crop introduction","inclusion of soybeans, cowpeas, and groundnuts; Women in Agriculture Development Unit educating communities on incorporating soybeans into local diets","focus on a highly food-insecure population; boosting agricultural yields to increase food security of beneficiary households","household","beneficiaries reported significant improvements in their levels of household food security and nutrition","","","","outcome","country case study focus group discussions","2",""
"70","P002","","","project communities, Northern Savannah Zone, Ghana","Ghana","farming system-crop","low-input climate-resilient farming","adoption of low-input farming methods (crop rotation with manure, zero tillage, organic compost), abandonment of slash-and-burn, restoration of riparian zones, in-field water harvesting (earth and stone bunding), mulching","address climate change impacts such as increased droughts and improve soil health","smallholder farmer","improved soil fertility and crop yields; riparian restoration enabled dry-season vegetable farming; higher yields reducing hunger; higher household incomes","","","","outcome","country case study focus group discussions and site visits","2",""
"71","P002","","","project communities, Northern Savannah Zone, Ghana","Ghana","cross cutting","community finance and input sustainability","farmers introduced to Village Savings and Loans Associations (VSLAs) to save for purchasing inputs; certified seeds introduced; economically valuable species such as mango and cashew integrated into restoration efforts","to ensure continuity of practices beyond project support and enhance long-term ownership","smallholder farmer","many farmers sustained the practices they were taught, leading to higher yields; certified seeds continued in use beyond initial project support","","","","outcome","country case study interviews and focus group discussions","2",""
"72","P002","","","GEF-6 project communities, Ghana","Ghana","cross cutting","women's economic participation","RFS SLWM Project interventions facilitated income-earning from project-supported activities for women","project not designed to address pre-existing gender norms or intra-household power dynamics","women (female-headed households)","women began to earn income from project-supported activities; however, reported tensions around income management emerged as gender norms were unaddressed","","","","outcome","country case study fieldwork","2",""
"73","P002","","","Ghana","Ghana","land use","payments for ecosystem services","payments for ecosystem services - conditional tree-planting payouts","innovative approach to support implementation and results","","","","","","","IEO implementation document review","1",""
"74","P002","","","Tarikom community, Bawku West District, Upper East Region, Ghana","Ghana","farming system-crop","integrated soil fertility management, agroforestry","integrated soil fertility management and agroforestry","","","","","","","","country case study site visit","1",""
"75","P002","","","Gbantongo Agoadabot community, Bawku West District, Upper East Region, Ghana","Ghana","farming system-mixed","rangeland, composting and soil conservation","rangeland and dugout, composting, earth bunding","","","","","","","","country case study site visit","1",""
"76","P002","","","Yameriga community, Talensi District, Upper East Region, Ghana","Ghana","land use","soil and vegetation restoration","stone lining, enrichment planting and natural regeneration","","","","","","","","country case study site visit","1",""
"77","P002","","","Takorayilli community, West Mamprusi District, Northern Region, Ghana","Ghana","land use","riparian restoration, woodlot and shea processing","riparian establishment, woodlot and shea processing facility","","","","","","","","country case study site visit","1",""
"78","P002","","","Upper Tana River basin and Nairobi, Kenya","Kenya","land use","watershed conservation water fund","Food-IAP: Establishment of the Upper Tana Nairobi Water Fund (UTNWF), GEF ID 9139, IFAD, $7.2 million GEF grant, $61 million cofinance","RFS program objective: improving agricultural sustainability and productivity for smallholder farmers across Sub-Saharan Africa","smallholder farmer","","","","","","portfolio review","1","C3 portfolio metadata - belongs on the general sheet"
"79","P002","","","Kenya","Kenya","cross cutting","multistakeholder integrated planning","multistakeholder platforms used to foster integrated planning, such as the Nairobi Water Fund; RFS-supported planning bodies benefited from strong ties to government decentralization frameworks","aligning national frameworks with district action","","","","","","","implementation document review and terminal evaluations","1",""
