"actor_code","actor_name","synonym","tier","source","status","evidence","added"
"BF2","Ministry for Animal Resources and Fisheries, Burkina Faso","Ministère des Ressources Animales et Halieutiques","trusted","website","active","og:site_name","2026-09-14"
"BF2","Ministry for Animal Resources and Fisheries, Burkina Faso","Ministry for Animal Resources and Fisheries","trusted","registry-rule:comma","active","","2026-09-14"
"BF20","Secrétariat Permanent du Conseil National pour l'Environnement et le Développement Durable, Burkina Faso","CONEDD","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF20","Secrétariat Permanent du Conseil National pour l'Environnement et le Développement Durable, Burkina Faso","Secrétariat Permanent du Conseil National pour l'Environnement et le Développement Durable","trusted","registry-rule:comma","active","","2026-09-14"
"BF20","Secrétariat Permanent du Conseil National pour l'Environnement et le Développement Durable, Burkina Faso","SP/CONEDD","trusted","website","active","heading ends (SP/CONEDD)","2026-09-14"
"BF21","National Bureau of Soils, Burkina Faso","National Bureau of Soils","trusted","registry-rule:comma","active","","2026-09-14"
"BF22","MARP Burkina Network","Réseau MARP Burkina","trusted","website","active","og:site_name: RESEAU MARP Burkina","2026-09-14"
"BF24","National Chamber of Agriculture, Burkina Faso","Chambre Nationale d'Agriculture","trusted","website","active","cna-burkina.org title","2026-09-14"
"BF24","National Chamber of Agriculture, Burkina Faso","National Chamber of Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"BF25","Peasant Confederation of Burkina Faso","CPF","trusted","website","active","cpf-bf.org title: CPF - ACCUEIL","2026-09-14"
"BF27","National Fund for Research and Innovation for Development, Burkina Faso","National Fund for Research and Innovation for Development","trusted","registry-rule:comma","active","","2026-09-14"
"BF28","General Directorate for Vegetable Productions, Burkina Faso","General Directorate for Vegetable Productions","trusted","registry-rule:comma","active","","2026-09-14"
"BF30","National Federation of Naam Groups","FNGN","trusted","website","active","fngnbf.org title: les activités de la FNGN","2026-09-14"
"BF31","Association Nodde Nooto","A2N","trusted","website","active","noddenooto.org title: A2N NODDE NOOTO","2026-09-14"
"BF31","Association Nodde Nooto","A2N Nodde Nooto","trusted","website","active","noddenooto.org title","2026-09-14"
"BF33","Ministry of Economy, Finance and Development, Burkina Faso","Ministry of Economy, Finance and Development","trusted","registry-rule:comma","active","","2026-09-14"
"BF38","Inter Zone Association for Rural Development","AIDMR","trusted","website","active","aidmr site title and og:site_name: L'AIDMR","2026-09-14"
"BF39","Cooperative for the Provision of Agricultural Service (Coobsa)","COPSA","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF40","Permanent Secretariat for Integrated Water Resources Management, Burkina Faso","GIRE","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF40","Permanent Secretariat for Integrated Water Resources Management, Burkina Faso","Permanent Secretariat for Integrated Water Resources Management","trusted","registry-rule:comma","active","","2026-09-14"
"BF41","Office National de l'Eau et l'Assainissement, Burkina Faso","Office National de l'Eau et l'Assainissement","trusted","registry-rule:comma","active","","2026-09-14"
"BF42","General Directorate of the Economy and Planning, Burkina Faso","General Directorate of the Economy and Planning","trusted","registry-rule:comma","active","","2026-09-14"
"BF44","Direction Generale des Amenagement Hydrauliques et du Developpement de l'Irrigation, Burkina Faso","Direction Generale des Amenagement Hydrauliques et du Developpement de l'Irrigation","trusted","registry-rule:comma","active","","2026-09-14"
"BF45","Union of Groups for the Marketing of Agricultural Products of the Boucle du Mouhoun","UGCPA","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF48","La-Toden District, Burkina Faso","La-Toden District","trusted","registry-rule:comma","active","","2026-09-14"
"BF49","Middle School Charles Lwanga de Nouna, Burkina Faso","Collège Charles Lwanga","trusted","website","active","site title","2026-09-14"
"BF49","Middle School Charles Lwanga de Nouna, Burkina Faso","Middle School Charles Lwanga de Nouna","trusted","registry-rule:comma","active","","2026-09-14"
"BF50","Projet de Production International Burkina Faso","PPI Industriel","trusted","website","active","site title and og:site_name","2026-09-14"
"BF52","Association for the Development of Yaongo Village, Burkina Faso","ADVY","trusted","website","active","og:site_name: A.D.V.Y","2026-09-14"
"BF52","Association for the Development of Yaongo Village, Burkina Faso","Association for the Development of Yaongo Village","trusted","registry-rule:comma","active","","2026-09-14"
"BF52","Association for the Development of Yaongo Village, Burkina Faso","Association pour le Développement du Village de Yaongo","trusted","website","active","site title","2026-09-14"
"BF54","Association pour la Protection de l'Environement et le Developpement Rural","APEDR","trusted","website","active","site title: association APEDR","2026-09-14"
"BF55","Village of Yoango, Burkina Faso","Village of Yoango","trusted","registry-rule:comma","active","","2026-09-14"
"BF56","Dargo District, Burkina Faso","Dargo District","trusted","registry-rule:comma","active","","2026-09-14"
"BF58","Ministry of Environment, Green Economy and Climate Change, Burkina Faso","Ministère de l'Environnement, de l'Eau et de l'Assainissement","candidate","website","active","the site at this URL now carries a different ministry name - possibly a merge, needs a human","2026-09-14"
"BF58","Ministry of Environment, Green Economy and Climate Change, Burkina Faso","Ministry of Environment, Green Economy and Climate Change","trusted","registry-rule:comma","active","","2026-09-14"
"BF59","Friends of Nature Foundation","NATURAMA","trusted","website","active","site title and og:site_name: NATURAMA","2026-09-14"
"BF61","Environment Intervention Fund","FIE","trusted","website","active","site title: Accueil FIE","2026-09-14"
"BF66","Association de la Gestion des Ressources Naturelles et de la Faune de la Comoé-Leraba","AGEREF","trusted","registry-rule:acronym-split","active","","2026-09-14"
"BF66","Association de la Gestion des Ressources Naturelles et de la Faune de la Comoé-Leraba","AGEREF Comoé-Leraba","trusted","website","active","site title: AGEREF COMOE - LERABA","2026-09-14"
"BF67","Catholic Organisation for Development and Solidarity","OCADES Caritas Burkina","trusted","website","active","site title and og:site_name","2026-09-14"
"BF68","Plateforme d'Action a la Securisation des Menages Pastoraux","PASMEP","trusted","website","active","site title: PASMEP - Accueil","2026-09-14"
"BF69","Direction Generale de l'Assainissement, Burkina Faso","Direction Generale de l'Assainissement","trusted","registry-rule:comma","active","","2026-09-14"
"BF7","Ministry of Water and Sanitation, Burkina Faso","Ministry of Water and Sanitation","trusted","registry-rule:comma","active","","2026-09-14"
"BF70","National Land Observatory, Burkina Faso","National Land Observatory","trusted","registry-rule:comma","active","","2026-09-14"
"BF8","Ministry of Higher Education, Scientific Research and Innovation, Burkina Faso","Ministry of Higher Education, Scientific Research and Innovation","trusted","registry-rule:comma","active","","2026-09-14"
"BF84","General Directorate of Land and Organization, Burkina Faso","General Directorate of Land and Organization","trusted","registry-rule:comma","active","","2026-09-14"
"BF85","Regional Directorates of the Ministry of Agriculture, Burkina Faso","Regional Directorates of the Ministry of Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"BF87","Technical Secretariat for Apiculture, Ministry of Animal and Fisheries Resources, Burkina Faso","Technical Secretariat for Apiculture, Ministry of Animal and Fisheries Resources","trusted","registry-rule:comma","active","","2026-09-14"
"BF88","Direction Generale des Eaux et des Forets, Burkina Faso","Direction Generale des Eaux et des Forets","trusted","registry-rule:comma","active","","2026-09-14"
"BF89","National Council of Organic Agriculture, Burkina Faso","National Council of Organic Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"BF91","Ministry of Environment and Sustainable Development, Burkina Faso","Ministry of Environment and Sustainable Development","candidate","registry-rule:comma","active","","2026-09-14"
"BF92","The Wouol Association","Wouol Association","trusted","registry-rule:the","active","","2026-09-14"
"BF97","Ministry of Health, Burkina Faso","Ministry of Health","trusted","registry-rule:comma","active","","2026-09-14"
"BF98","Ministry of Education, Burkina Faso","Ministry of Education","trusted","registry-rule:comma","active","","2026-09-14"
"BF99","Comité Interprofessionel du Riz du Burkina Faso","CIR","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CAN1","The International Development Research","CRDI","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CAN1","The International Development Research","IDRC","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CAN1","The International Development Research","International Development Research","trusted","registry-rule:the","active","","2026-09-14"
"CAN13","World University Service of Canada","EUMC","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CAN13","World University Service of Canada","WUSC","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CAN16","Ministry of International Relations and Francophonie, Canada","Ministry of International Relations and Francophonie","trusted","registry-rule:comma","active","","2026-09-14"
"CAN3","Union des Producteurs Agricoles - International Development","UPA","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CAN8","Ministry of the Environment and the Fight Against Climate Change, Canada","Ministry of the Environment and the Fight Against Climate Change","trusted","registry-rule:comma","active","","2026-09-14"
"CG1","Ministry of Forest Economy, Congo","Ministry of Forest Economy","trusted","registry-rule:comma","active","","2026-09-14"
"CG2","Ministry of Agriculture, Fisheries and Livestock, Congo","Ministry of Agriculture, Fisheries and Livestock","trusted","registry-rule:comma","active","","2026-09-14"
"CHE11","Research Institute of Organic Agriculture, Switzerland","Research Institute of Organic Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"CHE37","City of Rapperswil, Switzerland","City of Rapperswil","trusted","registry-rule:comma","active","","2026-09-14"
"CHE8","State Secretariat for Economic Affairs, Switzerland","State Secretariat for Economic Affairs","trusted","registry-rule:comma","active","","2026-09-14"
"CIV1","Ministry of Salubrity, Environment and Sustainable Development, Ivory Coast","Ministry of Salubrity, Environment and Sustainable Development","trusted","registry-rule:comma","active","","2026-09-14"
"CIV16","Ministry of Animal and Fisheries Resources, Ivory Coast","Ministry of Animal and Fisheries Resources","trusted","registry-rule:comma","active","","2026-09-14"
"CIV27","Ministry of Water and Forests, Ivory Coast","Ministry of Water and Forests","trusted","registry-rule:comma","active","","2026-09-14"
"CIV3","Conseil du Coton et de l'Anarcade, Cote d'Ivoire","Conseil du Coton et de l'Anarcade","trusted","registry-rule:comma","active","","2026-09-14"
"CIV31","Ministry of Environment and Sustainable Development, Ivory Coast","Ministry of Environment and Sustainable Development","candidate","registry-rule:comma","active","","2026-09-14"
"CIV34","Ministry for Economic Cooperation and Development, Ivory Coast","Ministry for Economic Cooperation and Development","trusted","registry-rule:comma","active","","2026-09-14"
"CIV38","Ministry of Commerce and Industry, Ivory Coast","Ministry of Commerce and Industry","trusted","registry-rule:comma","active","","2026-09-14"
"CIV39","Ministry of Finance, Ivory Coast","Ministry of Finance","candidate","registry-rule:comma","active","","2026-09-14"
"CIV4","Ministry of Agriculture and Rural Development, Ivory Coast","Ministry of Agriculture and Rural Development","candidate","registry-rule:comma","active","","2026-09-14"
"CIV57","Mé Regional Council, Cote d'Ivoire","Mé Regional Council","trusted","registry-rule:comma","active","","2026-09-14"
"CIV63","Tchologo Regional Council, Cote d'Ivoire","Tchologo Regional Council","trusted","registry-rule:comma","active","","2026-09-14"
"CIV64","Ministry of Planning and Development, Ivory Coast","Ministry of Planning and Development","trusted","registry-rule:comma","active","","2026-09-14"
"CIV9","National Agency for Support to Rural Development, Ivory Coast","National Agency for Support to Rural Development","trusted","registry-rule:comma","active","","2026-09-14"
"CMR1","Institute of Agricultural Research for Development, Cameroon","Institute of Agricultural Research for Development","trusted","registry-rule:comma","active","","2026-09-14"
"CMR10","Cameroonian Confederation of Cotton Producers","CNPC","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CMR11","Mission d'Etudes pour l'Aménagement et le Développement de la Région du Nord, Cameroon","Mission d'Etudes pour l'Aménagement et le Développement de la Région du Nord","trusted","registry-rule:comma","active","","2026-09-14"
"CMR12","National Observatory on Climate Change, Cameroon","National Observatory on Climate Change","trusted","registry-rule:comma","active","","2026-09-14"
"CMR23","Ministry of State Property, Surveys and Land Tenure, Cameroon","Ministry of State Property, Surveys and Land Tenure","trusted","registry-rule:comma","active","","2026-09-14"
"CMR26","Ministry of Environment, Protection of Nature and Sustainable Development, Cameroon","Ministry of Environment, Protection of Nature and Sustainable Development","trusted","registry-rule:comma","active","","2026-09-14"
"CMR3","Ministry of Water and Energy, Cameroon","Ministry of Water and Energy","trusted","registry-rule:comma","active","","2026-09-14"
"CMR4","Ministry of the Environment, Cameroon","Ministry of the Environment","trusted","registry-rule:comma","active","","2026-09-14"
"CMR5","Ministry of Agriculture and Rural Development, Cameroon","Ministry of Agriculture and Rural Development","candidate","registry-rule:comma","active","","2026-09-14"
"CMR6","Ministry of Fisheries and Animal Industries, Cameroon","Ministry of Fisheries and Animal Industries","trusted","registry-rule:comma","active","","2026-09-14"
"CMR7","Ministry of the Economy, Planning and Regional Development, Cameroon","Ministry of the Economy, Planning and Regional Development","trusted","registry-rule:comma","active","","2026-09-14"
"CMR8","Concertation Nationale des Organisations Paysannes","CAM","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CMR9","Cotton Development Corporation, Cameroon","Cotton Development Corporation","trusted","registry-rule:comma","active","","2026-09-14"
"CON14","African Union Development Agency","AUDA","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CON14","African Union Development Agency","NEPAD","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CON15","The African Forum for Agricultural Advisory Services","African Forum for Agricultural Advisory Services","trusted","registry-rule:the","active","","2026-09-14"
"CON16","The African Agricultural Technology Foundation","African Agricultural Technology Foundation","trusted","registry-rule:the","active","","2026-09-14"
"CON20","The Adaptation of African Agriculture Initiative","Adaptation of African Agriculture Initiative","trusted","registry-rule:the","active","","2026-09-14"
"CON7","Ecologic Organic Agriculture Initiative in Africa","EOA","trusted","registry-rule:acronym-split","active","","2026-09-14"
"CZE2","Ministry of Foreign Affairs, Czech Republic","Ministry of Foreign Affairs","candidate","registry-rule:comma","active","","2026-09-14"
"DEU2","Ministry of Economic Cooperation and Development, Germany","Ministry of Economic Cooperation and Development","trusted","registry-rule:comma","active","","2026-09-14"
"DEU22","Ministry of Food and Agriculture, Germany","Ministry of Food and Agriculture","candidate","registry-rule:comma","active","","2026-09-14"
"DEU4","Federal Ministry for the Environment, Nature Conservation, Nuclear Safety, and Consumer Protection, Germany","Federal Ministry for the Environment, Nature Conservation, Nuclear Safety, and Consumer Protection","trusted","registry-rule:comma","active","","2026-09-14"
"DEU40","The Institute for Social-Ecological Research","Institute for Social-Ecological Research","trusted","registry-rule:the","active","","2026-09-14"
"DNK5","Ministry of Foreign Affairs, Denmark","Ministry of Foreign Affairs","candidate","registry-rule:comma","active","","2026-09-14"
"DZA3","Laboratory of Biomathematics, Biophysics, Biochemistry and Scientometry, Faculty of Life and Nature Sciences, University of Bejaia","Laboratory of Biomathematics, Biophysics, Biochemistry and Scientometry, Faculty of Life and Nature Sciences","trusted","registry-rule:comma","active","","2026-09-14"
"EGY1","Faculty of Agriculture, Cairo University","Faculty of Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"ES3","Mediterranean Agronomic Institute of Zaragoza","IAMZ","trusted","registry-rule:acronym-split","active","","2026-09-14"
"EU14","Joint Research Center Science Hub","JRC","trusted","registry-rule:acronym-split","active","","2026-09-14"
"FIN2","Natural Resources Institute, Finland","Natural Resources Institute","trusted","registry-rule:comma","active","","2026-09-14"
"FIN5","Ministry of Foreign Affairs, Finland","Ministry of Foreign Affairs","candidate","registry-rule:comma","active","","2026-09-14"
"FRA10","Montpellier Méditerranée Metropolis, France","Montpellier Méditerranée Metropolis","trusted","registry-rule:comma","active","","2026-09-14"
"FRA11","Agence de l'Eau Rhône Méditerranée Corse, France","Agence de l'Eau Rhône Méditerranée Corse","trusted","registry-rule:comma","active","","2026-09-14"
"FRA12","Departmental Council of l'Hérault, France","Departmental Council of l'Hérault","trusted","registry-rule:comma","active","","2026-09-14"
"FRA13","Guillaume Tavernier Water Fund at the Sustainable Initiatives for Water","FGTO","trusted","registry-rule:acronym-split","active","","2026-09-14"
"FRA13","Guillaume Tavernier Water Fund at the Sustainable Initiatives for Water","SIWA","trusted","registry-rule:acronym-split","active","","2026-09-14"
"FRA28","Ministry for Europe and Foreign Affairs, France","Ministry for Europe and Foreign Affairs","trusted","registry-rule:comma","active","","2026-09-14"
"FRA29","Ministry of Agriculture and Food Sovereignty, France","Ministry of Agriculture and Food Sovereignty","trusted","registry-rule:comma","active","","2026-09-14"
"FRA33","Ministry of Foreign Affairs and International Development, France","Ministry of Foreign Affairs and International Development","trusted","registry-rule:comma","active","","2026-09-14"
"FRA48","The Global Alliance for Resilience Initiative","Global Alliance for Resilience Initiative","trusted","registry-rule:the","active","","2026-09-14"
"FRA60","Institut Superieur d'Agriculture Rhones-Alpes - Lyon","ISARA","trusted","registry-rule:acronym-split","active","","2026-09-14"
"FRA62","Ministry of Ecological Transition, France","Ministry of Ecological Transition","trusted","registry-rule:comma","active","","2026-09-14"
"GHA1","Directorate of Crop Services, Ministry of Food and Agriculture, Ghana","Directorate of Crop Services, Ministry of Food and Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"GHA10","Wildlife Division, Forestry Commission of the Ministry of Lands and Natural Resources, Ghana","Wildlife Division, Forestry Commission of the Ministry of Lands and Natural Resources","trusted","registry-rule:comma","active","","2026-09-14"
"GHA12","Ministry of Finance, Ghana","Ministry of Finance","candidate","registry-rule:comma","active","","2026-09-14"
"GHA2","Plant Protection and Regulatory Services Directorate, Ministry of Food and Agriculture, Ghana","Plant Protection and Regulatory Services Directorate, Ministry of Food and Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"GHA28","Fishery Comission, Ghana","Fishery Comission","trusted","registry-rule:comma","active","","2026-09-14"
"GHA3","Directorate of Agricultural Extension Services, Ministry of Food and Agriculture, Ghana","Directorate of Agricultural Extension Services, Ministry of Food and Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"GHA30","Ministry of Food and Agriculture, Ghana","Ministry of Food and Agriculture","candidate","registry-rule:comma","active","","2026-09-14"
"GHA31","Ministry of Local Government and Rural Development, Ghana","Ministry of Local Government and Rural Development","trusted","registry-rule:comma","active","","2026-09-14"
"GHA4","Ministry of Food and Agriculture, Policy, Planning, Monitoring and Evaluation Directorate, Ghana","Ministry of Food and Agriculture, Policy, Planning, Monitoring and Evaluation Directorate","trusted","registry-rule:comma","active","","2026-09-14"
"GHA40","Worawora Town Council, Ghana","Worawora Town Council","trusted","registry-rule:comma","active","","2026-09-14"
"GHA42","Faculty of Renewable Natural Resources of Kwame Nkrumah University of Science and Technology","FRNR","trusted","registry-rule:acronym-split","active","","2026-09-14"
"GHA47","Tree Crops Development Authority, Ghana","Tree Crops Development Authority","trusted","registry-rule:comma","active","","2026-09-14"
"GHA49","Ministry of Land and Natural Resources, Ghana","Ministry of Land and Natural Resources","trusted","registry-rule:comma","active","","2026-09-14"
"GHA5","Environmental Protection Agency, Ghana","Environmental Protection Agency","trusted","registry-rule:comma","active","","2026-09-14"
"GHA54","Forestry Commission, Ghana","Forestry Commission","trusted","registry-rule:comma","active","","2026-09-14"
"GHA7","Ministry of Environment, Science, Technology and Innovation, Ghana","Ministry of Environment, Science, Technology and Innovation","trusted","registry-rule:comma","active","","2026-09-14"
"GHA77","The Development Insitute","Development Insitute","trusted","registry-rule:the","active","","2026-09-14"
"GHA8","Savannah Accelerated Development Authority, Ghana","Savannah Accelerated Development Authority","trusted","registry-rule:comma","active","","2026-09-14"
"GHA9","District Agriculture Developmental Units, Ministry of Food and Agriculture, Ghana","District Agriculture Developmental Units, Ministry of Food and Agriculture","trusted","registry-rule:comma","active","","2026-09-14"
"GLO47","Sustainable Agriculture Initiative Platform","SAI","trusted","registry-rule:acronym-split","active","","2026-09-14"
"GLO93","The Manoff Group","Manoff Group","trusted","registry-rule:the","active","","2026-09-14"
"GRC4","Hellenic Agricultural Organization","DEMETER","trusted","registry-rule:acronym-split","active","","2026-09-14"
"GRC4","Hellenic Agricultural Organization","HAO","trusted","registry-rule:acronym-split","active","","2026-09-14"
"ITA12","Catholic University of the Sacred Heart, Milan","Catholic University of the Sacred Heart","trusted","registry-rule:comma","active","","2026-09-14"
"ITA15","Marche Polytechnic University, Ancona","Marche Polytechnic University","trusted","registry-rule:comma","active","","2026-09-14"
"ITA6","Institute of Bioscience and Bioresources","IBBR","trusted","registry-rule:acronym-split","active","","2026-09-14"
"JPN3","Ministry of Finance, Japan","Ministry of Finance","candidate","registry-rule:comma","active","","2026-09-14"
